ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1455165_at	0.0202	3.97e-08	4.99e+01	6.701304	5.19	Rora	RAR-related orphan receptor alpha
1420583_a_at	0.0328	1.42e-07	3.90e+01	6.385583	5.36	Rora	RAR-related orphan receptor alpha
1424034_at	0.0328	1.93e-07	3.67e+01	6.290028	4.39	Rora	RAR-related orphan receptor alpha
1442542_at	0.0621	5.87e-07	2.96e+01	5.867607	3.35	Eya4	EYA transcriptional coactivator and phosphatase 4
1451335_at	0.0621	6.09e-07	2.94e+01	5.851144	5.24	Plac8	placenta-specific 8
1438782_at	0.0644	9.87e-07	-2.67e+01	5.62597	-3.47	Cntn4	contactin 4
1450521_a_at	0.0644	1.04e-06	2.64e+01	5.59811	2.41	Tcrg-V4	T cell receptor gamma, variable 4
1441598_at	0.0644	1.13e-06	-2.60e+01	5.559916	-2.54	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2
1436325_at	0.0644	1.14e-06	2.60e+01	5.554662	4.95	Rora	RAR-related orphan receptor alpha
1418569_at	0.0899	2.09e-06	-2.31e+01	5.223711	-2.48	Fblim1	filamin binding LIM protein 1
1434440_at	0.0899	2.32e-06	-2.26e+01	5.163606	-4.36	Gnai1	guanine nucleotide binding protein (G protein), alpha inhibiting 1
1448943_at	0.0899	2.70e-06	-2.20e+01	5.070972	-3.39	Nrp1	neuropilin 1
1422189_x_at	0.0899	2.94e-06	2.16e+01	5.018111	2.54	Tcrg-V4	T cell receptor gamma, variable 4
1416022_at	0.0899	2.96e-06	2.16e+01	5.015988	3.38	Fabp5	fatty acid binding protein 5, epidermal
1459665_s_at	0.0899	3.10e-06	2.14e+01	4.987147	2.75	Mrvi1	MRV integration site 1
1425814_a_at	0.0899	3.46e-06	-2.09e+01	4.917581	-2.65	Calcrl	calcitonin receptor-like
1427673_a_at	0.0899	3.55e-06	-2.08e+01	4.900974	-3.22	Sema3e	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E
1424338_at	0.0899	4.01e-06	2.03e+01	4.822294	1.77	Slc6a13	solute carrier family 6 (neurotransmitter transporter, GABA), member 13
1447500_at	0.0899	4.02e-06	2.03e+01	4.820131	2.74	Cux2	cut-like homeobox 2
1422188_s_at	0.0899	4.13e-06	2.02e+01	4.803106	2.30	Tcrg-V4///Trgv2	T cell receptor gamma, variable 4///T cell receptor gamma variable 2
1436326_at	0.0899	4.14e-06	2.02e+01	4.801286	4.17	Rora	RAR-related orphan receptor alpha
1425603_at	0.0899	4.16e-06	2.02e+01	4.797621	4.71	Tmem176a	transmembrane protein 176A
1418004_a_at	0.0899	4.19e-06	2.01e+01	4.793204	4.70	Tmem176b	transmembrane protein 176B
1455426_at	0.0899	4.24e-06	-2.01e+01	4.785626	-2.35	Epha3	Eph receptor A3
1416021_a_at	0.0942	4.78e-06	1.96e+01	4.705702	2.66	Fabp5	fatty acid binding protein 5, epidermal
1419638_at	0.0942	4.81e-06	-1.96e+01	4.70114	-2.33	Efnb2	ephrin B2
1459158_at	0.1086	5.76e-06	1.89e+01	4.577617	2.98		
1454959_s_at	0.1174	6.67e-06	-1.84e+01	4.474309	-4.39	Gnai1	guanine nucleotide binding protein (G protein), alpha inhibiting 1
1419073_at	0.1174	6.68e-06	-1.84e+01	4.47279	-2.23	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2
1436970_a_at	0.1355	7.98e-06	1.78e+01	4.34502	8.48	Pdgfrb	platelet derived growth factor receptor, beta polypeptide
1424443_at	0.1407	8.76e-06	-1.74e+01	4.276586	-1.59	Tm6sf1	transmembrane 6 superfamily member 1
1451634_at	0.1407	8.84e-06	1.74e+01	4.270009	4.09	Airn	antisense Igf2r RNA
1442226_at	0.1477	9.72e-06	-1.71e+01	4.199157	-2.65	Sema3e	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E
1417960_at	0.1477	1.11e-05	-1.66e+01	4.099067	-2.56	Cpeb1	cytoplasmic polyadenylation element binding protein 1
1449220_at	0.1477	1.11e-05	1.66e+01	4.098988	3.44	Gimap3	GTPase, IMAP family member 3
1419639_at	0.1477	1.13e-05	-1.66e+01	4.084213	-2.32	Efnb2	ephrin B2
1418369_at	0.1477	1.16e-05	1.65e+01	4.061173	1.58	Prim1	DNA primase, p49 subunit
1452757_s_at	0.1477	1.18e-05	1.64e+01	4.051052	3.38	Hba-a2///Hba-a1	hemoglobin alpha, adult chain 2///hemoglobin alpha, adult chain 1
1435148_at	0.1477	1.18e-05	1.64e+01	4.048758	3.37	Atp1b2	ATPase, Na+/K+ transporting, beta 2 polypeptide
1446688_at	0.1477	1.18e-05	-1.64e+01	4.047898	-1.69		
